,Suburb,Latitude,Longitude,SSC_Code
0,"Abbotsbury, Sydney",-33.8692846,150.8667029,SSC10002
1,"Abbotsford, Sydney",-33.8505529,151.129759,SSC10003
2,"Acacia Gardens, Sydney",-33.7324595,150.9125321,SSC10014
3,"Agnes Banks, Sydney",-33.6145082,150.7114482,SSC10021
4,"Airds, Sydney",-34.09,150.8261111,SSC10022
5,"Alexandria, Sydney",-33.9091568,151.1921281,SSC10030
6,"Alfords Point, Sydney",-33.9839091,151.0241615,SSC10031
7,"Allambie Heights, Sydney",-33.7705067,151.249675,SSC10036
8,"Allawah, Sydney",-33.9696293,151.1142847,SSC10038
9,"Ambarvale, Sydney",-34.0844252,150.8017477,SSC10049
10,"Annandale, Sydney",-33.881224,151.1709976,SSC10061
11,"Annangrove, Sydney",-33.6574838,150.9460077,SSC10062
12,"Arcadia, Sydney",-33.6227289,151.0605602,SSC10072
13,"Arncliffe, Sydney",-33.938236,151.145508,SSC10086
14,"Arndell Park, Sydney",-33.79,150.8761111,SSC10087
15,"Artarmon, Sydney",-33.808955,151.1853088,SSC10090
16,"Ashbury, Sydney",-33.9001107,151.1180724,SSC10093
17,"Ashcroft, Sydney",-33.915,150.9011111,SSC10097
18,"Ashfield, Sydney",-33.8894781,151.1274125,SSC10098
19,"Asquith, Sydney",-33.6871935,151.1110257,SSC10103
20,"Auburn, Sydney",-33.8545702,151.0255673,SSC10106
21,"Austral, Sydney",-33.9282672,150.8082824,SSC10109
22,"Avalon Beach, Sydney",-33.6365039,151.3290299,SSC10111
23,"Badgerys Creek, Sydney",-33.9147851,150.7059611,SSC10132
24,"Balgowlah Heights, Sydney",-33.807495,151.2649923,SSC10154
25,"Balgowlah, Sydney",-33.7944424,151.2608261,SSC10153
26,"Balmain East, Sydney",-33.8571789,151.192354,SSC10165
27,"Balmain, Sydney",-33.8583992,151.1807353,SSC10164
28,"Bangor, Sydney",-34.0155034,151.0334872,SSC10177
